ID,Name,Description,Contributor,Citation,Examples_Count
16,Prosodic detail in Neapolitan Italian,,"Cangemi, Francesco","Cangemi, Francesco. 2014. Prosodic detail in Neapolitan Italian. (Studies in Laboratory Phonology.) Berlin: Language Science Press.",8
17,A grammar of Pite Saami,,"Wilbur, Joshua","Wilbur, Joshua. 2014. A grammar of Pite Saami. (Studies in Diversity Linguistics.) Berlin: Language Science Press.",324
18,A typology of marked-S languages,,"Handschuh, Corinna","Handschuh, Corinna. 2014. A typology of marked-S languages. (Studies in Diversity Linguistics.) Berlin: Language Science Press.",377
19,Adjective attribution,,"Rießler, Michael","Rießler, Michael. 2016. Adjective attribution. (Studies in Diversity Linguistics.) Berlin: Language Science Press.",373
27,Grammaire des constructions elliptiques: Une étude comparative des phrases sans verbe en roumain et en français,,"Bîlbîie, Gabriela","Bîlbîie, Gabriela. 2017. Grammaire des constructions elliptiques. (Empirically Oriented Theoretical Morphology and Syntax.) Berlin: Language Science Press.",330
48,"Natural causes of language: Frames, biases, and cultural transmission",,"Enfield, N.J.","Enfield, N.J. 2014. Natural causes of language. (Conceptual Foundations of Language Science.) Berlin: Language Science Press.",3
53,The evolution of grounded spatial language,,"Spranger, Michael","Spranger, Michael. 2016. The evolution of grounded spatial language. (Computational Models of Language Evolution.) Berlin: Language Science Press.",18
66,A grammar of Yakkha,,"Schackow, Diana","Schackow, Diana. 2015. A grammar of Yakkha. (Studies in Diversity Linguistics.) Berlin: Language Science Press.",873
67,A grammar of Mauwake,,"Berghäll, Liisa","Berghäll, Liisa. 2015. A grammar of Mauwake. (Studies in Diversity Linguistics.) Berlin: Language Science Press.",1690
73,Grammaticalization in the North: Noun phrase morphosyntax in Scandinavian vernaculars,,"Dahl, Östen","Dahl, Östen. 2015. Grammaticalization in the North. (Studies in Diversity Linguistics.) Berlin: Language Science Press.",350
74,A dictionary and grammatical outline of Chakali,,"Brindle, Jonathan","Brindle, Jonathan. 2017. A dictionary and grammatical outline of Chakali. (African Language Grammars and Dictionaries.) Berlin: Language Science Press.",377
75,"Linguistic variation, identity construction and cognition",,"Drager, Katie K.","Drager, Katie K. 2015. Linguistic variation, identity construction and cognition. (Studies in Laboratory Phonology.) Berlin: Language Science Press.",1
78,A grammar of Papuan Malay,,"Kluge, Angela","Kluge, Angela. 2017. A grammar of Papuan Malay. (Studies in Diversity Linguistics.) Berlin: Language Science Press.",1512
80,Dual aspectual forms and event structure in Caribbean English Creoles,,"Forbes-Barnett, Marsha","Forbes-Barnett, Marsha. 2018. Dual aspectual forms and event structure in Caribbean English Creoles. (Studies in Caribbean Languages.) Berlin: Language Science Press.",152
81,The future of dialects: Selected papers from Methods in  Dialectology XV,,"Côté, Marie-Hélène and Knooihuizen, Remco and Nerbonne, John"," Côté, Marie-Hélène and Knooihuizen, Remco and Nerbonne, John (eds.) 2016. The future of dialects. (Language Variation.) Berlin: Language Science Press.",10
